family,number,id,name,description,type,status,placeholder_values,profile_notes,page
SC,36,sc-36,Distributed processing and storage,"Distribute the following processing and storage components across multiple [Selection (one): physical locations; logical
domains]: [Assignment: organization-defined processing and storage components].",Control,Not selected,NA,NA,133
SC,36(01),sc-36.1,Distributed processing and storage,"Distributed processing and storage: Polling techniques
a. Employ polling techniques to identify potential faults, errors, or compromises to the following processing and storage
components: [Assignment: organization-defined distributed processing and storage components].
b. Take the following actions in response to identified faults, errors, or compromises: [Assignment: organization-defined
actions].",Control,Not selected,NA,NA,133
SC,36(02),sc-36.2,Distributed processing and storage,"Distributed processing and storage: Synchronization
Synchronize the following duplicate systems or system components: [Assignment: organization-defined duplicate
systems or system components].",Control,Not selected,NA,NA,133
SC,37,sc-37,Out-of-band channels,"Employ the following out-of-band channels for the physical delivery or electronic transmission of [Assignment:
organization-defined information, system components, or devices] to [Assignment: organization-defined individuals or
systems]: [Assignment: organization-defined out-of-band channels].",Control,Not selected,NA,NA,133
SC,37(01),sc-37.1,Out-of-band channels,"Out-of-band channels: Ensure delivery and transmission
Employ [Assignment: organization-defined controls] to ensure that only [Assignment: organization-defined individuals or
systems] receive the following information, system components, or devices: [Assignment: organization-defined
information, system components, or devices].",Control,Not selected,NA,NA,133
SC,38,sc-38,Operations security,"Employ the following operations security controls to protect key organizational information throughout the system
development lifecycle: [Assignment: organization-defined operations security controls].",Control,Not selected,NA,NA,133
SC,39,sc-39,Process isolation,Maintain a separate execution domain for each executing system process.,Control,Selected,NA,NA,133
SC,39(01),sc-39.1,Process isolation,"Process isolation: Hardware separation
Implement hardware separation mechanisms to facilitate process isolation.",Control,Not selected,NA,NA,134
SC,39(02),sc-39.2,Process isolation,"Process isolation: Separate execution domain per thread
Maintain a separate execution domain for each thread in [Assignment: organization-defined multi-threaded processing].",Control,Not selected,NA,NA,134
SC,40,sc-40,Wireless link protection,"Protect external and internal [Assignment: organization-defined wireless links] from the following signal parameter
attacks: [Assignment: organization-defined types of signal parameter attacks or references to sources for such attacks].",Control,Not selected,NA,NA,134
SC,40(01),sc-40.1,Wireless link protection,"Wireless link protection: Electromagnetic interference
Implement cryptographic mechanisms that achieve [Assignment: organization-defined level of protection] against the
effects of intentional electromagnetic interference.",Control,Not selected,NA,NA,134
SC,40(02),sc-40.2,Wireless link protection,"Wireless link protection: Reduce detection potential
Implement cryptographic mechanisms to reduce the detection potential of wireless links to [Assignment: organization-
defined level of reduction].",Control,Not selected,NA,NA,134
SC,40(03),sc-40.3,Wireless link protection,"Wireless link protection: Imitative or manipulative communications deception
Implement cryptographic mechanisms to identify and reject wireless transmissions that are deliberate attempts to
achieve imitative or manipulative communications deception based on signal parameters.",Control,Not selected,NA,NA,134
SC,40(04),sc-40.4,Wireless link protection,"Wireless link protection: Signal parameter identification
Implement cryptographic mechanisms to prevent the identification of [Assignment: organization-defined wireless
transmitters] by using the transmitter signal parameters.",Control,Not selected,NA,NA,134
SC,41,sc-41,Port and i/o device access,"[Selection (one): Physically; Logically] disable or remove [Assignment: organization-defined connection ports or
input/output devices] on the following systems or system components: [Assignment: organization-defined systems or
system components].",Control,Not selected,NA,NA,134
SC,42,sc-42,Sensor capability and data,"A. Prohibit [Selection (one or more): the use of devices possessing [Assignment: organization-defined environmental
sensing capabilities] in [Assignment: organization-defined facilities, areas, or systems]; the remote activation of
environmental sensing capabilities on organizational systems or system components with the following exceptions:
[Assignment: organization-defined exceptions where remote activation of sensors is allowed]].
B. Provide an explicit indication of sensor use to [Assignment: organization-defined group of users].",Control,Not selected,NA,NA,134
SC,42(01),sc-42.1,Sensor capability and data,"Sensor capability and data: Reporting to authorized individuals or roles
Verify that the system is configured so that data or information collected by the [Assignment: organization-defined
sensors] is only reported to authorized individuals or roles.",Control,Not selected,NA,NA,134
SC,42(02),sc-42.2,Sensor capability and data,"Sensor capability and data: Authorized use
Employ the following measures so that data or information collected by [Assignment: organization-defined sensors] is
only used for authorized purposes: [Assignment: organization-defined measures].",Control,Not selected,NA,NA,134
SC,42(03),sc-42.3,Sensor capability and data,"Sensor capability and data: Prohibit use of devices
Withdrawn: Incorporated into SC-42.",NA,NA,NA,NA,134
SC,42(04),sc-42.4,Sensor capability and data,"Sensor capability and data: Notice of collection
Employ the following measures to facilitate an individual’s awareness that personal information is being collected by
[Assignment: organization-defined sensors]: [Assignment: organization-defined measures].",Control,Not selected,NA,NA,135
SC,42(05),sc-42.5,Sensor capability and data,"Sensor capability and data: Collection minimization
Employ [Assignment: organization-defined sensors] that are configured to minimize the collection of information about
individuals that is not needed.",Control,Not selected,NA,NA,135
SC,42(400),sc-42.400,Sensor capability and data,"Sensor capability and data: Disablement in security/high security zone
Ensure that the organization disables all sensors on all devices when they are not approved to process information at the
highest classification level in the security or high-security zone they are in.",Control,Not selected,NA,NA,135
SC,43,sc-43,Usage restrictions,"A. Establish usage restrictions and implementation guidelines for the following system components: [Assignment:
organization-defined system components].
B. Authorize, monitor, and control the use of such components within the system.",Control,Not selected,NA,NA,135
SC,44,sc-44,Detonation chambers,"Employ a detonation chamber capability within [Assignment: organization-defined system, system component, or
location].",Control,Not selected,NA,NA,135
SC,45,sc-45,System time synchronization,Synchronize system clocks within and between systems and system components.,Control,Selected,NA,NA,135
SC,45(01),sc-45.1,System time synchronization,"System time synchronization: Synchronization with authoritative time source
a. Compare the internal system clocks [Assignment: organization-defined frequency] with [Assignment: organization-
defined authoritative time source].
b. Synchronize the internal system clocks to the authoritative time source when the time difference is greater than
[Assignment: organization-defined time period].",Control,Not selected,NA,NA,135
SC,45(02),sc-45.2,System time synchronization,"System time synchronization: Secondary authoritative time source
a. Identify a secondary authoritative time source that is in a different geographic region than the primary authoritative
time source.
b. Synchronize the internal system clocks to the secondary authoritative time source if the primary authoritative time
source is unavailable.",Control,Not selected,NA,NA,135
SC,46,sc-46,Cross domain policy enforcement,"Implement a policy enforcement mechanism [Selection (one): physically; logically] between the physical and/or network
interfaces for the connecting security domains.",Control,Not selected,NA,NA,135
SC,46(400),sc-46.400,Cross domain policy enforcement,"Cross domain policy enforcement: Manual data transfer
Limit the use of manual data transfer.",Control,Not selected,NA,NA,135
SC,47,sc-47,Alternate communication s paths,"Establish [Assignment: organization-defined alternate communications paths] for system operations organizational
command and control.",Control,Not selected,NA,NA,135
SC,48,sc-48,Sensor relocation,"Relocate [Assignment: organization-defined sensors and monitoring capabilities] to [Assignment: organization-defined
locations] under the following conditions or circumstances: [Assignment: organization-defined conditions or
circumstances].",Control,Not selected,NA,NA,136
SC,48(01),sc-48.1,Sensor relocation,"Sensor relocation: Dynamic relocation of sensors or monitoring capabilities
Dynamically relocate [Assignment: organization-defined sensors and monitoring capabilities] to [Assignment:
organization-defined locations] under the following conditions or circumstances: [Assignment: organization-defined
conditions or circumstances].",Control,Not selected,NA,NA,136
SC,49,sc-49,Hardware- enforced separation and policy enforcement,"Implement hardware-enforced separation and policy enforcement mechanisms between [Assignment: organization-
defined security domains].",Control,Not selected,NA,NA,136
SC,50,sc-50,Software- enforced separation and policy enforcement,"Implement software-enforced separation and policy enforcement mechanisms between [Assignment: organization-
defined security domains].",Control,Not selected,NA,NA,136
